timestamp,zone,line,direction,transportMode,latitude,longitude
1720040895350,18,1,Stenpiren,tram,57.704563,11.95746
1720040895350,18,62,Skårs kyrka"," Påstigning fram,bus,57.71241,12.007233
1720040895350,18,62,Skårs kyrka"," Påstigning fram,bus,57.71241,12.007233
1720040895350,18,760,Mölndal resecentrum"," Påstigning fram,bus,57.634141,12.019656
1720040895350,18,761,Lindome"," Påstigning fram,bus,57.60329,12.078077
1720040895350,18,71,Eriksbo"," Påstigning fram,bus,57.778607,12.040502
1720040895350,18,71,Angered centrum"," Påstigning fram,bus,57.769123,12.026848
1720040895350,18,2,Mölnlycketerminalen"," Påstigning fram,bus,57.643894,12.114879
1720040895350,18,731,Älskogsbräcka via Gottskär"," Påstigning fram,bus,57.412206,12.020142
1720040895350,18,530,Aspen station"," Påstigning fram,bus,57.752781,12.260765
1720040895350,18,6E,Hjalmar Brantingsplatsen"," Ersätter spårvagn,bus,57.720644,11.954197
1720040895350,18,6E,Hjalmar Brantingsplatsen"," Ersätter spårvagn,bus,57.720644,11.954197
1720040895350,18,6E,Hjalmar Brantingsplatsen"," Ersätter spårvagn,bus,57.720644,11.954197
1720040895350,18,6E,Nordstan"," Ersätter spårvagn,bus,57.71321,11.970045
1720040895350,18,6E,Nordstan"," Ersätter spårvagn,bus,57.71321,11.970045
1720040895350,18,6E,Nordstan"," Ersätter spårvagn,bus,57.71321,11.970045
1720040895350,18,25,Länsmansgården via Järntorget,bus,57.655787,12.011117
1720040895350,18,25,Balltorp via Järntorget,bus,57.711871,11.968867
1720040895350,18,25,Balltorp,bus,57.677262,11.971393
1720040895350,18,25,Länsmansgården,bus,57.701254,11.950943
1720040895350,18,757,Mölndal resecentrum"," Påstigning fram,bus,57.682251,11.964633
1720040895350,18,50,Frölunda Torg"," Påstigning fram,bus,57.70405,11.956543
1720040895350,18,SVART,Amhult resecentrum"," Påstigning fram,bus,57.722172,12.049375
1720040895350,18,17,Tuve,bus,57.716716,12.005489
1720040895350,18,763,Lindome"," Påstigning fram,bus,57.604432,12.136157
1720040895350,18,60,Fredriksdal"," Påstigning fram,bus,57.709345,12.000195
1720040895350,18,60,Fredriksdal"," Påstigning fram,bus,57.685703,11.983753
1720040895350,18,63,Heden"," Påstigning fram,bus,57.686971,11.952093
1720040895350,18,63,Heden"," Påstigning fram,bus,57.703718,11.975016
1720040895350,18,63,Linnéplatsen"," Påstigning fram,bus,57.683752,11.964094
1720040895350,18,61,Heden"," Påstigning fram,bus,57.690971,11.979088
1720040895350,18,61,Masthugget"," Påstigning fram,bus,57.697021,11.987187
1720040895350,18,SNU,Stenungsund"," Påstigning fram,bus,57.709659,11.971897
1720040895350,18,2,Linnéplatsen,tram,57.673828,12.009148
1720040895350,18,2,Linnéplatsen via Valand,tram,57.700859,11.974243
1720040895350,18,9,Ullevi Norra,tram,57.707628,11.984985
1720040895350,18,1,Centralstationen,tram,57.711817,11.990244
1720040895350,18,4,Angered,tram,57.698396,11.982153
1720040895350,18,4,Angered,tram,57.772773,12.024205
1720040895350,18,5,Centralstationen,tram,57.700481,11.974863
1720040895350,18,5,Östra Sjukhuset,tram,57.708491,12.023486
1720040895350,18,6,Centralstationen via Sahlgrenska,tram,57.716257,12.004501
1720040895350,18,6,Centralstationen via Valand,tram,57.688876,11.952264
1720040895350,18,3,Marklandsgatan,tram,57.717552,12.024861
1720040895350,18,3,Marklandsgatan,tram,57.698504,11.967986
1720040895350,18,11,Saltholmen,tram,57.760323,12.041249
1720040895350,18,11,Saltholmen,tram,57.705399,11.968706
1720040895350,18,6,Kortedala via Sahlgrenska,tram,57.699421,11.964876
1720040895350,18,6,Kortedala,tram,57.702935,11.9853
1720040895350,18,6,Kortedala,tram,57.750452,12.031693
1720040895350,18,7,Tynnered,tram,57.728339,12.0094
